2026-05-12 01:37:29 | INFO | fashintelli.pipeline | Social cleaned: 3800 -> 2202
2026-05-12 10:16:31 | INFO | fashintelli.pipeline | Survey cleaned: 1182 -> 691
2026-05-12 10:16:31 | INFO | fashintelli.pipeline | Social cleaned: 53 -> 34
2026-05-12 10:17:59 | INFO | fashintelli.pipeline | Survey cleaned: 1182 -> 691
2026-05-12 10:17:59 | INFO | fashintelli.pipeline | Social cleaned: 920 -> 536
2026-05-12 10:27:16 | INFO | fashintelli.pipeline | Survey cleaned: 1182 -> 691
2026-05-12 10:27:16 | INFO | fashintelli.pipeline | Social cleaned: 920 -> 536
2026-05-12 11:26:56 | INFO | fashintelli.pipeline | Survey cleaned: 1182 -> 691
2026-05-12 11:26:56 | INFO | fashintelli.pipeline | Social cleaned: 835 -> 479
2026-05-12 13:48:56 | INFO | fashintelli.pipeline | Survey cleaned: 1182 -> 691
2026-05-12 13:48:56 | INFO | fashintelli.pipeline | Social cleaned: 810 -> 487
