feature,importance_mean,importance_std
f_17,0.2694491725566005,0.031310868162025704
f_2,0.06894938950748289,0.018630664022906952
f_6,0.05661614374414444,0.011562879488356693
f_11,0.048093124982773544,0.01549784040257611
f_9,0.03662163028656153,0.008710881398599647
f_7,0.03420052355528111,0.012380048917314476
f_4,0.014663703343241649,0.010085274063146629
f_13,0.014081423633932518,0.007637118562131458
f_15,0.006997107223015849,0.005739309384435634
f_10,0.0016174054089416374,0.007144967731339676
f_8,0.0010208444877206253,0.004941935725897948
f_1,0.0,0.0
f_3,0.0,0.0
f_5,0.0,0.0
f_12,0.0,0.0
f_16,-0.0015832176871233962,0.006354742870119072
f_0,-0.002026902524414959,0.0032682821165020788
f_14,-0.003296787488145504,0.00504659216761941
